"HIOKI PW3360(Ver2.12)",S/N.161035999
"FOLDER",23072006
"WIRING",3P3W3M
"OPERATION",RMS
"FREQUENCY",50Hz
"THD",THD-F
"INTERVAL",30sec
"U RANGE",600V
"I RANGE",1A
"SENSOR",9694(5A)
"VT(PT)",200
"CT",600
"PULSE",001.000, ,
"ENERGY COST",0000.00,

2023-07-20 18:25:00,START
Date,Etime,Status,Freq_Avg[Hz],U1_Avg[V],Ufnd1_Avg[V],Udeg1_Avg[deg],U2_Avg[V],Ufnd2_Avg[V],Udeg2_Avg[deg],U3_Avg[V],Ufnd3_Avg[V],Udeg3_Avg[deg],I1_Avg[A],Ifnd1_Avg[A],Ideg1_Avg[deg],I2_Avg[A],Ifnd2_Avg[A],Ideg2_Avg[deg],I3_Avg[A],Ifnd3_Avg[A],Ideg3_Avg[deg],P1_Avg[W],P2_Avg[W],P3_Avg[W],P_Avg[W],S1_Avg[VA],S2_Avg[VA],S3_Avg[VA],S_Avg[VA],Q1_Avg[var],Q2_Avg[var],Q3_Avg[var],Q_Avg[var],PF1_Avg,PF2_Avg,PF3_Avg,PF_Avg,Freq_Max[Hz],U1_Max[V],Ufnd1_Max[V],Upeak1_Max[V],Udeg1_Max[deg],U2_Max[V],Ufnd2_Max[V],Upeak2_Max[V],Udeg2_Max[deg],U3_Max[V],Ufnd3_Max[V],Upeak3_Max[V],Udeg3_Max[deg],I1_Max[A],Ifnd1_Max[A],Ipeak1_Max[A],Ideg1_Max[deg],I2_Max[A],Ifnd2_Max[A],Ipeak2_Max[A],Ideg2_Max[deg],I3_Max[A],Ifnd3_Max[A],Ipeak3_Max[A],Ideg3_Max[deg],P1_Max[W],P2_Max[W],P3_Max[W],P_Max[W],S1_Max[VA],S2_Max[VA],S3_Max[VA],S_Max[VA],Q1_Max[var],Q2_Max[var],Q3_Max[var],Q_Max[var],PF1_Max,PF2_Max,PF3_Max,PF_Max,Freq_Min[Hz],U1_Min[V],Ufnd1_Min[V],Upeak1_Min[V],Udeg1_Min[deg],U2_Min[V],Ufnd2_Min[V],Upeak2_Min[V],Udeg2_Min[deg],U3_Min[V],Ufnd3_Min[V],Upeak3_Min[V],Udeg3_Min[deg],I1_Min[A],Ifnd1_Min[A],Ipeak1_Min[A],Ideg1_Min[deg],I2_Min[A],Ifnd2_Min[A],Ipeak2_Min[A],Ideg2_Min[deg],I3_Min[A],Ifnd3_Min[A],Ipeak3_Min[A],Ideg3_Min[deg],P1_Min[W],P2_Min[W],P3_Min[W],P_Min[W],S1_Min[VA],S2_Min[VA],S3_Min[VA],S_Min[VA],Q1_Min[var],Q2_Min[var],Q3_Min[var],Q_Min[var],PF1_Min,PF2_Min,PF3_Min,PF_Min,WP+[Wh],WP-[Wh],WQLAG[varh],WQLEAD[varh],Ecost,WP+dem[Wh],WP-dem[Wh],WQLAGdem[varh],WQLEADdem[varh],Pdem+[W],Pdem-[W],QdemLAG[var],QdemLEAD[var],PFdem,Pulse
2023-07-21 05:31:30,0011:06:30,00000000,50.029E+00,22.68E+03,13.01E+03,0.00E+00,22.55E+03,13.29E+03,119.05E+00,22.45E+03,12.75E+03,-121.14E+00,276.04E+00,275.92E+00,54.48E+00,282.13E+00,282.00E+00,116.14E+00,284.62E+00,284.51E+00,174.57E+00,2.086E+06,3.744E+06,1.573E+06,7.40E+06,3.593E+06,3.752E+06,3.631E+06,10.98E+06,-2.926E+06,0.246E+06,3.272E+06,8.10E+06,-0.5805E+00,0.9978E+00,0.4333E+00,0.6745E+00,50.034E+00,22.72E+03,13.03E+03,19.24E+03,0.00E+00,22.60E+03,13.32E+03,19.61E+03,119.07E+00,22.49E+03,12.78E+03,18.81E+03,-121.10E+00,284.94E+00,284.81E+00,422.96E+00,55.11E+00,288.60E+00,288.47E+00,425.71E+00,116.76E+00,291.88E+00,291.79E+00,426.17E+00,175.17E+00,2.348E+06,3.805E+06,1.602E+06,7.52E+06,3.688E+06,3.816E+06,3.702E+06,11.21E+06,-2.844E+06,0.495E+06,3.431E+06,8.31E+06,-0.6366E+00,0.9984E+00,0.4425E+00,0.6754E+00,50.023E+00,22.55E+03,12.94E+03,18.91E+03,0.00E+00,22.41E+03,13.21E+03,19.27E+03,119.03E+00,22.32E+03,12.68E+03,18.50E+03,-121.18E+00,267.17E+00,267.03E+00,388.40E+00,50.42E+00,273.34E+00,273.19E+00,395.38E+00,111.95E+00,275.94E+00,275.85E+00,399.05E+00,170.88E+00,1.999E+06,3.634E+06,1.389E+06,7.18E+06,3.482E+06,3.640E+06,3.525E+06,10.65E+06,-2.974E+06,0.210E+06,3.165E+06,7.86E+06,-0.5715E+00,0.9916E+00,0.3752E+00,0.6712E+00,68.194E+06,0.000E+06,60.932E+06,-13.643E+06,0.00000E+00,0.062E+06,0.000E+06,0.068E+06,0.000E+06,7.40E+06,0.00E+06,8.10E+06,0.00E+06,0.6745E+00,0.000E+03
2023-07-21 05:32:00,0011:07:00,00000000,50.031E+00,22.67E+03,13.01E+03,0.00E+00,22.54E+03,13.29E+03,119.02E+00,22.44E+03,12.75E+03,-121.16E+00,278.66E+00,278.54E+00,54.37E+00,284.62E+00,284.50E+00,115.96E+00,286.98E+00,286.87E+00,174.45E+00,2.111E+06,3.775E+06,1.580E+06,7.47E+06,3.626E+06,3.783E+06,3.660E+06,11.07E+06,-2.948E+06,0.255E+06,3.301E+06,8.17E+06,-0.5822E+00,0.9977E+00,0.4318E+00,0.6745E+00,50.045E+00,22.71E+03,13.03E+03,19.32E+03,0.00E+00,22.58E+03,13.31E+03,19.60E+03,119.05E+00,22.48E+03,12.77E+03,18.81E+03,-121.13E+00,281.95E+00,281.84E+00,412.32E+00,54.65E+00,287.96E+00,287.85E+00,423.42E+00,116.34E+00,290.27E+00,290.14E+00,426.85E+00,174.78E+00,2.146E+06,3.814E+06,1.595E+06,7.54E+06,3.666E+06,3.823E+06,3.699E+06,11.18E+06,-2.874E+06,0.273E+06,3.340E+06,8.26E+06,-0.5870E+00,0.9980E+00,0.4368E+00,0.6749E+00,50.021E+00,22.63E+03,12.99E+03,18.92E+03,0.00E+00,22.50E+03,13.26E+03,19.26E+03,119.00E+00,22.41E+03,12.73E+03,18.51E+03,-121.18E+00,270.63E+00,270.50E+00,391.49E+00,54.03E+00,276.84E+00,276.70E+00,399.96E+00,115.60E+00,279.43E+00,279.33E+00,405.34E+00,174.09E+00,2.039E+06,3.679E+06,1.547E+06,7.27E+06,3.526E+06,3.687E+06,3.567E+06,10.78E+06,-2.977E+06,0.232E+06,3.212E+06,7.96E+06,-0.5781E+00,0.9973E+00,0.4263E+00,0.6740E+00,68.256E+06,0.000E+06,61.000E+06,-13.643E+06,0.00000E+00,0.062E+06,0.000E+06,0.068E+06,0.000E+06,7.47E+06,0.00E+06,8.17E+06,0.00E+06,0.6745E+00,0.000E+03
2023-07-21 05:32:30,0011:07:30,00000000,50.038E+00,22.68E+03,13.02E+03,0.00E+00,22.55E+03,13.29E+03,119.02E+00,22.46E+03,12.76E+03,-121.17E+00,279.03E+00,278.91E+00,54.41E+00,284.70E+00,284.57E+00,116.03E+00,287.32E+00,287.21E+00,174.56E+00,2.113E+06,3.778E+06,1.590E+06,7.48E+06,3.633E+06,3.787E+06,3.667E+06,11.09E+06,-2.956E+06,0.252E+06,3.304E+06,8.18E+06,-0.5816E+00,0.9978E+00,0.4336E+00,0.6748E+00,50.044E+00,22.73E+03,13.04E+03,19.27E+03,0.00E+00,22.59E+03,13.32E+03,19.60E+03,119.04E+00,22.50E+03,12.78E+03,18.86E+03,-121.13E+00,283.31E+00,283.21E+00,415.53E+00,54.75E+00,289.37E+00,289.27E+00,424.91E+00,116.37E+00,291.53E+00,291.38E+00,423.88E+00,174.96E+00,2.148E+06,3.835E+06,1.614E+06,7.59E+06,3.686E+06,3.844E+06,3.717E+06,11.25E+06,-2.879E+06,0.267E+06,3.352E+06,8.30E+06,-0.5847E+00,0.9981E+00,0.4401E+00,0.6755E+00,50.032E+00,22.65E+03,13.00E+03,18.92E+03,0.00E+00,22.52E+03,13.28E+03,19.30E+03,119.00E+00,22.43E+03,12.74E+03,18.52E+03,-121.19E+00,271.60E+00,271.45E+00,395.61E+00,54.18E+00,277.63E+00,277.48E+00,401.68E+00,115.77E+00,280.22E+00,280.15E+00,406.60E+00,174.31E+00,2.050E+06,3.684E+06,1.552E+06,7.29E+06,3.534E+06,3.691E+06,3.575E+06,10.80E+06,-2.998E+06,0.232E+06,3.221E+06,7.97E+06,-0.5767E+00,0.9976E+00,0.4291E+00,0.6743E+00,68.318E+06,0.000E+06,61.068E+06,-13.643E+06,0.00000E+00,0.062E+06,0.000E+06,0.068E+06,0.000E+06,7.48E+06,0.00E+06,8.18E+06,0.00E+06,0.6748E+00,0.000E+03
2023-07-21 05:33:00,0011:08:00,00000000,50.029E+00,22.70E+03,13.03E+03,0.00E+00,22.56E+03,13.30E+03,119.02E+00,22.48E+03,12.76E+03,-121.18E+00,281.27E+00,281.14E+00,54.54E+00,286.36E+00,286.23E+00,116.08E+00,288.96E+00,288.85E+00,174.76E+00,2.125E+06,3.802E+06,1.612E+06,7.54E+06,3.666E+06,3.811E+06,3.690E+06,11.17E+06,-2.987E+06,0.251E+06,3.319E+06,8.24E+06,-0.5797E+00,0.9978E+00,0.4370E+00,0.6753E+00,50.044E+00,22.74E+03,13.05E+03,19.35E+03,0.00E+00,22.60E+03,13.33E+03,19.64E+03,119.05E+00,22.51E+03,12.78E+03,18.81E+03,-121.14E+00,287.28E+00,287.14E+00,419.76E+00,54.75E+00,292.33E+00,292.19E+00,428.11E+00,116.41E+00,294.61E+00,294.53E+00,428.69E+00,174.99E+00,2.173E+06,3.878E+06,1.636E+06,7.69E+06,3.741E+06,3.887E+06,3.760E+06,11.39E+06,-2.906E+06,0.282E+06,3.385E+06,8.40E+06,-0.5852E+00,0.9981E+00,0.4405E+00,0.6758E+00,50.015E+00,22.67E+03,13.01E+03,18.92E+03,0.00E+00,22.54E+03,13.29E+03,19.31E+03,118.99E+00,22.45E+03,12.75E+03,18.51E+03,-121.21E+00,273.04E+00,272.91E+00,397.33E+00,54.15E+00,278.25E+00,278.13E+00,404.65E+00,115.56E+00,280.71E+00,280.57E+00,408.20E+00,174.28E+00,2.060E+06,3.698E+06,1.571E+06,7.33E+06,3.562E+06,3.706E+06,3.588E+06,10.86E+06,-3.045E+06,0.232E+06,3.226E+06,8.01E+06,-0.5768E+00,0.9973E+00,0.4297E+00,0.6747E+00,68.381E+06,0.000E+06,61.136E+06,-13.643E+06,0.00000E+00,0.063E+06,0.000E+06,0.069E+06,0.000E+06,7.54E+06,0.00E+06,8.24E+06,0.00E+06,0.6753E+00,0.000E+03
2023-07-21 05:33:30,0011:08:30,00000000,50.013E+00,22.71E+03,13.04E+03,0.00E+00,22.57E+03,13.30E+03,119.01E+00,22.49E+03,12.77E+03,-121.16E+00,276.93E+00,276.80E+00,54.70E+00,281.90E+00,281.77E+00,116.24E+00,284.46E+00,284.34E+00,174.92E+00,2.085E+06,3.745E+06,1.596E+06,7.43E+06,3.611E+06,3.752E+06,3.634E+06,11.00E+06,-2.948E+06,0.239E+06,3.265E+06,8.11E+06,-0.5774E+00,0.9980E+00,0.4393E+00,0.6753E+00,50.023E+00,22.74E+03,13.05E+03,19.31E+03,0.00E+00,22.60E+03,13.32E+03,19.60E+03,119.03E+00,22.51E+03,12.78E+03,18.86E+03,-121.13E+00,283.66E+00,283.53E+00,415.18E+00,54.91E+00,288.15E+00,288.02E+00,422.96E+00,116.52E+00,290.90E+00,290.80E+00,421.48E+00,175.16E+00,2.162E+06,3.815E+06,1.619E+06,7.58E+06,3.690E+06,3.825E+06,3.707E+06,11.22E+06,-2.890E+06,0.274E+06,3.345E+06,8.28E+06,-0.5859E+00,0.9982E+00,0.4429E+00,0.6758E+00,50.003E+00,22.65E+03,13.00E+03,18.95E+03,0.00E+00,22.51E+03,13.27E+03,19.27E+03,119.00E+00,22.43E+03,12.74E+03,18.53E+03,-121.21E+00,270.63E+00,270.49E+00,391.04E+00,54.10E+00,275.24E+00,275.11E+00,398.36E+00,115.61E+00,277.96E+00,277.82E+00,401.45E+00,174.38E+00,2.030E+06,3.661E+06,1.561E+06,7.27E+06,3.532E+06,3.668E+06,3.554E+06,10.76E+06,-2.993E+06,0.225E+06,3.188E+06,7.93E+06,-0.5744E+00,0.9974E+00,0.4312E+00,0.6748E+00,68.443E+06,0.000E+06,61.204E+06,-13.643E+06,0.00000E+00,0.062E+06,0.000E+06,0.068E+06,0.000E+06,7.43E+06,0.00E+06,8.11E+06,0.00E+06,0.6753E+00,0.000E+03
2023-07-21 05:34:00,0011:09:00,00000000,49.997E+00,22.67E+03,13.02E+03,0.00E+00,22.54E+03,13.28E+03,119.00E+00,22.46E+03,12.75E+03,-121.17E+00,278.75E+00,278.62E+00,54.70E+00,283.34E+00,283.21E+00,116.15E+00,285.73E+00,285.62E+00,174.94E+00,2.096E+06,3.758E+06,1.603E+06,7.46E+06,3.630E+06,3.766E+06,3.645E+06,11.04E+06,-2.964E+06,0.243E+06,3.274E+06,8.14E+06,-0.5774E+00,0.9979E+00,0.4397E+00,0.6754E+00,50.003E+00,22.70E+03,13.03E+03,19.28E+03,0.00E+00,22.56E+03,13.30E+03,19.62E+03,119.02E+00,22.48E+03,12.77E+03,18.84E+03,-121.15E+00,284.59E+00,284.46E+00,418.16E+00,54.95E+00,288.99E+00,288.88E+00,423.76E+00,116.58E+00,291.36E+00,291.23E+00,422.51E+00,175.29E+00,2.175E+06,3.825E+06,1.620E+06,7.59E+06,3.700E+06,3.836E+06,3.711E+06,11.25E+06,-2.890E+06,0.286E+06,3.352E+06,8.30E+06,-0.5877E+00,0.9982E+00,0.4451E+00,0.6759E+00,49.990E+00,22.57E+03,12.95E+03,18.90E+03,0.00E+00,22.44E+03,13.23E+03,19.26E+03,118.97E+00,22.35E+03,12.69E+03,18.53E+03,-121.19E+00,271.10E+00,270.97E+00,394.58E+00,53.98E+00,275.68E+00,275.56E+00,401.45E+00,115.38E+00,278.64E+00,278.52E+00,405.34E+00,174.24E+00,2.034E+06,3.660E+06,1.575E+06,7.27E+06,3.534E+06,3.666E+06,3.558E+06,10.76E+06,-3.006E+06,0.222E+06,3.190E+06,7.93E+06,-0.5738E+00,0.9972E+00,0.4290E+00,0.6749E+00,68.505E+06,0.000E+06,61.272E+06,-13.643E+06,0.00000E+00,0.062E+06,0.000E+06,0.068E+06,0.000E+06,7.46E+06,0.00E+06,8.14E+06,0.00E+06,0.6754E+00,0.000E+03
2023-07-21 05:34:30,0011:09:30,00000000,50.002E+00,22.68E+03,13.02E+03,0.00E+00,22.54E+03,13.29E+03,119.01E+00,22.45E+03,12.75E+03,-121.16E+00,276.01E+00,275.88E+00,54.72E+00,280.30E+00,280.17E+00,116.14E+00,282.69E+00,282.57E+00,174.99E+00,2.075E+06,3.718E+06,1.587E+06,7.38E+06,3.594E+06,3.726E+06,3.605E+06,10.92E+06,-2.935E+06,0.242E+06,3.237E+06,8.05E+06,-0.5772E+00,0.9979E+00,0.4403E+00,0.6756E+00,50.010E+00,22.70E+03,13.03E+03,19.29E+03,0.00E+00,22.57E+03,13.30E+03,19.69E+03,119.04E+00,22.47E+03,12.76E+03,18.88E+03,-121.14E+00,281.73E+00,281.61E+00,414.50E+00,54.93E+00,286.22E+00,286.10E+00,417.93E+00,116.41E+00,288.36E+00,288.26E+00,418.16E+00,175.23E+00,2.123E+06,3.796E+06,1.617E+06,7.52E+06,3.665E+06,3.804E+06,3.675E+06,11.14E+06,-2.877E+06,0.267E+06,3.303E+06,8.22E+06,-0.5832E+00,0.9981E+00,0.4438E+00,0.6762E+00,49.994E+00,22.65E+03,13.00E+03,18.90E+03,0.00E+00,22.51E+03,13.27E+03,19.21E+03,118.99E+00,22.42E+03,12.73E+03,18.51E+03,-121.18E+00,270.57E+00,270.44E+00,393.55E+00,54.30E+00,274.90E+00,274.76E+00,397.79E+00,115.69E+00,277.78E+00,277.66E+00,401.11E+00,174.55E+00,2.031E+06,3.647E+06,1.561E+06,7.24E+06,3.525E+06,3.655E+06,3.540E+06,10.72E+06,-2.993E+06,0.227E+06,3.178E+06,7.90E+06,-0.5741E+00,0.9974E+00,0.4337E+00,0.6750E+00,68.566E+06,0.000E+06,61.339E+06,-13.643E+06,0.00000E+00,0.062E+06,0.000E+06,0.067E+06,0.000E+06,7.38E+06,0.00E+06,8.05E+06,0.00E+06,0.6756E+00,0.000E+03
2023-07-21 05:35:00,0011:10:00,00000000,50.000E+00,22.71E+03,13.04E+03,0.00E+00,22.57E+03,13.31E+03,119.02E+00,22.48E+03,12.76E+03,-121.15E+00,262.14E+00,262.01E+00,55.49E+00,265.61E+00,265.48E+00,117.04E+00,268.68E+00,268.56E+00,175.95E+00,1.935E+06,3.529E+06,1.560E+06,7.02E+06,3.419E+06,3.535E+06,3.430E+06,10.38E+06,-2.818E+06,0.165E+06,3.053E+06,6.00E+06,-0.5658E+00,0.9982E+00,0.4550E+00,0.6764E+00,50.004E+00,22.91E+03,13.16E+03,19.23E+03,0.00E+00,22.76E+03,13.42E+03,19.62E+03,119.06E+00,22.68E+03,12.87E+03,18.88E+03,-121.10E+00,276.95E+00,276.83E+00,404.54E+00,59.46E+00,280.95E+00,280.82E+00,410.26E+00,121.43E+00,283.31E+00,283.20E+00,410.38E+00,179.97E+00,2.081E+06,3.724E+06,1.598E+06,7.40E+06,3.605E+06,3.732E+06,3.610E+06,10.95E+06,-2.372E+06,0.245E+06,3.241E+06,8.07E+06,-0.5774E+00,-0.9985E+00,0.5201E+00,-0.6786E+00,49.992E+00,22.66E+03,13.01E+03,18.91E+03,0.00E+00,22.52E+03,13.28E+03,19.20E+03,119.00E+00,22.44E+03,12.74E+03,18.52E+03,-121.18E+00,209.40E+00,209.24E+00,304.41E+00,54.70E+00,211.58E+00,211.44E+00,307.15E+00,116.08E+00,215.75E+00,215.67E+00,312.30E+00,-180.00E+00,1.402E+06,2.833E+06,1.439E+06,5.68E+06,2.755E+06,2.839E+06,2.777E+06,8.37E+06,-2.943E+06,-0.172E+06,2.372E+06,-6.25E+06,-0.5077E+00,0.9978E+00,0.4406E+00,0.6756E+00,68.625E+06,0.000E+06,61.396E+06,-13.650E+06,0.00000E+00,0.059E+06,0.000E+06,0.057E+06,-0.007E+06,7.02E+06,0.00E+06,6.82E+06,-0.83E+06,0.7174E+00,0.000E+03
2023-07-21 05:35:30,0011:10:30,00000000,49.981E+00,22.82E+03,13.10E+03,0.00E+00,22.67E+03,13.37E+03,119.03E+00,22.58E+03,12.82E+03,-121.12E+00,234.07E+00,233.84E+00,57.43E+00,237.22E+00,236.99E+00,119.18E+00,240.61E+00,240.41E+00,177.98E+00,1.648E+06,3.165E+06,1.498E+06,6.31E+06,3.068E+06,3.171E+06,3.085E+06,9.32E+06,-2.586E+06,0.039E+06,2.695E+06,1.69E+06,-0.5373E+00,-0.9981E+00,0.4855E+00,0.6769E+00,49.998E+00,22.93E+03,13.17E+03,19.34E+03,0.00E+00,22.77E+03,13.43E+03,19.71E+03,119.11E+00,22.68E+03,12.88E+03,18.93E+03,-121.02E+00,268.36E+00,268.03E+00,400.19E+00,59.85E+00,272.06E+00,271.74E+00,406.94E+00,121.85E+00,275.02E+00,274.72E+00,410.95E+00,179.97E+00,1.978E+06,3.616E+06,1.598E+06,7.19E+06,3.502E+06,3.623E+06,3.513E+06,10.64E+06,-2.288E+06,0.237E+06,3.128E+06,7.84E+06,-0.5648E+00,0.9987E+00,0.5257E+00,0.6795E+00,49.969E+00,22.72E+03,13.04E+03,18.92E+03,0.00E+00,22.58E+03,13.31E+03,19.29E+03,118.99E+00,22.49E+03,12.77E+03,18.60E+03,-121.17E+00,201.47E+00,201.31E+00,295.71E+00,55.54E+00,203.69E+00,203.53E+00,295.59E+00,117.07E+00,207.72E+00,207.59E+00,302.92E+00,-179.96E+00,1.334E+06,2.727E+06,1.393E+06,5.46E+06,2.652E+06,2.733E+06,2.673E+06,8.06E+06,-2.890E+06,-0.184E+06,2.277E+06,-6.50E+06,-0.5019E+00,-0.9978E+00,0.4544E+00,0.6747E+00,68.678E+06,0.000E+06,61.432E+06,-13.672E+06,0.00000E+00,0.053E+06,0.000E+06,0.036E+06,-0.022E+06,6.31E+06,0.00E+06,4.28E+06,-2.59E+06,0.8278E+00,0.000E+03
2023-07-21 05:36:00,0011:11:00,00000000,49.979E+00,22.71E+03,13.04E+03,0.00E+00,22.57E+03,13.30E+03,119.02E+00,22.48E+03,12.76E+03,-121.13E+00,267.09E+00,266.67E+00,55.42E+00,271.51E+00,271.08E+00,116.89E+00,273.88E+00,273.48E+00,175.67E+00,1.974E+06,3.604E+06,1.574E+06,7.15E+06,3.485E+06,3.614E+06,3.497E+06,10.60E+06,-2.872E+06,0.266E+06,3.123E+06,7.82E+06,-0.5664E+00,0.9973E+00,0.4500E+00,0.6750E+00,49.991E+00,22.75E+03,13.06E+03,19.48E+03,0.00E+00,22.60E+03,13.33E+03,19.72E+03,119.05E+00,22.52E+03,12.78E+03,19.05E+03,-121.09E+00,277.96E+00,277.47E+00,428.00E+00,56.20E+00,281.93E+00,281.38E+00,436.58E+00,117.66E+00,284.11E+00,283.63E+00,434.52E+00,176.66E+00,2.079E+06,3.734E+06,1.620E+06,7.41E+06,3.624E+06,3.747E+06,3.622E+06,10.98E+06,-2.769E+06,0.335E+06,3.257E+06,8.11E+06,-0.5793E+00,0.9981E+00,0.4655E+00,0.6769E+00,49.966E+00,22.67E+03,13.02E+03,18.95E+03,0.00E+00,22.53E+03,13.28E+03,19.34E+03,118.97E+00,22.44E+03,12.74E+03,18.64E+03,-121.16E+00,255.87E+00,255.53E+00,387.14E+00,54.47E+00,260.63E+00,260.33E+00,391.72E+00,116.06E+00,263.93E+00,263.62E+00,394.47E+00,174.73E+00,1.873E+06,3.468E+06,1.537E+06,6.88E+06,3.343E+06,3.475E+06,3.374E+06,10.20E+06,-2.974E+06,0.213E+06,2.990E+06,7.52E+06,-0.5555E+00,0.9960E+00,0.4355E+00,0.6731E+00,68.737E+06,0.000E+06,61.497E+06,-13.672E+06,0.00000E+00,0.060E+06,0.000E+06,0.065E+06,0.000E+06,7.15E+06,0.00E+06,7.82E+06,0.00E+06,0.6750E+00,0.000E+03
2023-07-21 05:36:30,0011:11:30,00000000,49.969E+00,22.73E+03,13.05E+03,0.00E+00,22.60E+03,13.32E+03,118.99E+00,22.50E+03,12.77E+03,-121.14E+00,257.34E+00,257.08E+00,55.95E+00,261.29E+00,261.02E+00,117.39E+00,263.61E+00,263.37E+00,176.24E+00,1.879E+06,3.476E+06,1.547E+06,6.90E+06,3.360E+06,3.482E+06,3.369E+06,10.21E+06,-2.786E+06,0.211E+06,2.993E+06,7.53E+06,-0.5592E+00,0.9982E+00,0.4592E+00,0.6759E+00,49.977E+00,22.76E+03,13.07E+03,19.37E+03,0.00E+00,22.63E+03,13.33E+03,19.71E+03,119.03E+00,22.53E+03,12.79E+03,18.98E+03,-121.09E+00,263.37E+00,263.16E+00,395.04E+00,56.43E+00,266.85E+00,266.58E+00,400.99E+00,117.91E+00,269.19E+00,268.95E+00,401.11E+00,176.70E+00,1.955E+06,3.543E+06,1.578E+06,7.02E+06,3.434E+06,3.551E+06,3.433E+06,10.39E+06,-2.718E+06,0.243E+06,3.072E+06,7.66E+06,-0.5717E+00,0.9984E+00,0.4661E+00,0.6778E+00,49.962E+00,22.69E+03,13.02E+03,18.92E+03,0.00E+00,22.55E+03,13.30E+03,19.31E+03,118.93E+00,22.46E+03,12.75E+03,18.60E+03,-121.19E+00,250.17E+00,249.91E+00,374.44E+00,55.08E+00,254.99E+00,254.67E+00,381.88E+00,116.44E+00,257.96E+00,257.71E+00,382.11E+00,175.43E+00,1.818E+06,3.396E+06,1.514E+06,6.74E+06,3.270E+06,3.402E+06,3.299E+06,9.97E+06,-2.833E+06,0.195E+06,2.929E+06,7.35E+06,-0.5521E+00,0.9976E+00,0.4466E+00,0.6744E+00,68.795E+06,0.000E+06,61.559E+06,-13.672E+06,0.00000E+00,0.058E+06,0.000E+06,0.063E+06,0.000E+06,6.90E+06,0.00E+06,7.53E+06,0.00E+06,0.6759E+00,0.000E+03
2023-07-21 05:37:00,0011:12:00,00000000,49.981E+00,22.67E+03,13.01E+03,0.00E+00,22.54E+03,13.29E+03,118.97E+00,22.44E+03,12.74E+03,-121.15E+00,265.99E+00,265.76E+00,55.52E+00,270.18E+00,269.95E+00,116.88E+00,272.19E+00,271.98E+00,175.75E+00,1.958E+06,3.584E+06,1.568E+06,7.11E+06,3.463E+06,3.591E+06,3.469E+06,10.52E+06,-2.857E+06,0.232E+06,3.095E+06,7.76E+06,-0.5653E+00,0.9979E+00,0.4519E+00,0.6756E+00,49.994E+00,22.74E+03,13.05E+03,19.34E+03,0.00E+00,22.60E+03,13.32E+03,19.64E+03,119.02E+00,22.50E+03,12.78E+03,19.01E+03,-121.10E+00,276.74E+00,276.50E+00,410.60E+00,56.72E+00,280.45E+00,280.17E+00,421.82E+00,118.20E+00,280.94E+00,280.69E+00,420.56E+00,176.87E+00,2.070E+06,3.709E+06,1.606E+06,7.35E+06,3.597E+06,3.720E+06,3.575E+06,10.89E+06,-2.720E+06,0.287E+06,3.211E+06,8.04E+06,-0.5783E+00,0.9985E+00,0.4693E+00,0.6777E+00,49.968E+00,22.62E+03,12.99E+03,18.91E+03,0.00E+00,22.49E+03,13.26E+03,19.26E+03,118.92E+00,22.40E+03,12.72E+03,18.61E+03,-121.20E+00,251.72E+00,251.49E+00,374.79E+00,54.61E+00,253.99E+00,253.75E+00,380.85E+00,115.71E+00,257.64E+00,257.41E+00,382.22E+00,174.92E+00,1.804E+06,3.379E+06,1.514E+06,6.76E+06,3.281E+06,3.385E+06,3.293E+06,9.98E+06,-2.941E+06,0.189E+06,2.911E+06,7.34E+06,-0.5479E+00,0.9970E+00,0.4392E+00,0.6736E+00,68.854E+06,0.000E+06,61.624E+06,-13.672E+06,0.00000E+00,0.059E+06,0.000E+06,0.065E+06,0.000E+06,7.11E+06,0.00E+06,7.76E+06,0.00E+06,0.6756E+00,0.000E+03
